0.177,0.147,0.121,0.103,0.083,0.031,0.028,0.026,0.024,0.023,0.407,0.431,0.477,0.492,0.482,1
0.301,0.247,0.207,0.181,0.164,0.07,0.063,0.058,0.056,0.055,0.143,0.153,0.171,0.175,0.172,1
0.546,0.442,0.354,0.28,0.202,0.082,0.07,0.061,0.055,0.051,0.109,0.123,0.158,0.177,0.184,1
0.472,0.392,0.325,0.28,0.25,0.115,0.103,0.094,0.089,0.087,0.072,0.078,0.091,0.097,0.098,1
0.464,0.362,0.286,0.23,0.197,0.093,0.079,0.07,0.065,0.063,0.089,0.1,0.124,0.133,0.135,1
0.558,0.458,0.379,0.33,0.298,0.142,0.122,0.109,0.102,0.098,0.052,0.058,0.068,0.071,0.071,1
0.504,0.414,0.337,0.278,0.239,0.101,0.088,0.078,0.07,0.065,0.074,0.082,0.099,0.109,0.114,1
0.519,0.42,0.338,0.29,0.247,0.114,0.098,0.087,0.081,0.078,0.077,0.087,0.109,0.116,0.113,1
0.581,0.485,0.406,0.342,0.294,0.134,0.116,0.103,0.093,0.088,0.067,0.074,0.087,0.091,0.091,1
0.559,0.451,0.357,0.286,0.227,0.103,0.088,0.076,0.068,0.064,0.07,0.079,0.101,0.111,0.116,1
0.447,0.335,0.246,0.175,0.134,0.073,0.06,0.05,0.043,0.04,0.155,0.176,0.223,0.241,0.246,1
0.517,0.414,0.323,0.241,0.151,0.07,0.06,0.053,0.048,0.043,0.136,0.151,0.185,0.207,0.215,1
0.562,0.449,0.361,0.313,0.3,0.145,0.124,0.11,0.105,0.103,0.061,0.068,0.086,0.089,0.087,1
0.5,0.419,0.35,0.296,0.25,0.107,0.095,0.086,0.08,0.076,0.081,0.089,0.106,0.112,0.112,1
0.615,0.523,0.444,0.367,0.274,0.114,0.101,0.091,0.083,0.08,0.061,0.068,0.082,0.089,0.093,1
0.55,0.44,0.352,0.296,0.259,0.126,0.107,0.094,0.086,0.081,0.067,0.075,0.087,0.091,0.094,1
0.527,0.424,0.344,0.308,0.276,0.131,0.112,0.1,0.096,0.092,0.071,0.079,0.095,0.095,0.092,1
0.601,0.501,0.414,0.341,0.276,0.127,0.109,0.096,0.086,0.08,0.056,0.063,0.076,0.085,0.088,1
0.527,0.417,0.335,0.287,0.249,0.11,0.093,0.082,0.076,0.074,0.072,0.081,0.099,0.104,0.104,1
0.525,0.463,0.413,0.365,0.331,0.153,0.141,0.132,0.125,0.121,0.042,0.046,0.05,0.051,0.052,1
0.543,0.439,0.354,0.295,0.243,0.104,0.089,0.079,0.073,0.072,0.08,0.089,0.11,0.119,0.122,1
0.549,0.444,0.356,0.282,0.234,0.121,0.103,0.089,0.081,0.077,0.078,0.087,0.105,0.111,0.114,1
0.494,0.424,0.369,0.326,0.287,0.127,0.116,0.108,0.102,0.099,0.069,0.075,0.087,0.09,0.09,1
0.542,0.436,0.355,0.297,0.253,0.109,0.093,0.083,0.077,0.075,0.08,0.09,0.112,0.121,0.122,1
0.586,0.482,0.385,0.317,0.273,0.141,0.121,0.105,0.094,0.09,0.059,0.066,0.083,0.088,0.086,1
0.535,0.412,0.32,0.264,0.236,0.115,0.096,0.083,0.076,0.072,0.077,0.088,0.111,0.119,0.118,1
0.298,0.236,0.19,0.162,0.14,0.059,0.052,0.047,0.044,0.042,0.175,0.191,0.223,0.232,0.23,1
0.477,0.369,0.287,0.224,0.176,0.093,0.079,0.068,0.06,0.055,0.102,0.116,0.143,0.154,0.156,1
0.563,0.45,0.357,0.287,0.23,0.108,0.092,0.079,0.07,0.065,0.085,0.096,0.123,0.136,0.138,1
0.481,0.37,0.286,0.236,0.205,0.101,0.084,0.073,0.068,0.066,0.103,0.118,0.145,0.152,0.15,1
0.581,0.468,0.378,0.328,0.299,0.117,0.099,0.086,0.08,0.076,0.07,0.079,0.099,0.106,0.105,1
0.429,0.365,0.315,0.267,0.238,0.095,0.086,0.079,0.073,0.07,0.086,0.092,0.107,0.115,0.118,1
0.417,0.339,0.276,0.232,0.215,0.089,0.078,0.07,0.065,0.063,0.093,0.102,0.124,0.132,0.133,1
0.385,0.314,0.259,0.219,0.195,0.085,0.076,0.069,0.065,0.062,0.105,0.114,0.134,0.142,0.141,1
0.541,0.441,0.361,0.293,0.242,0.095,0.082,0.072,0.067,0.065,0.085,0.096,0.12,0.131,0.133,1
0.602,0.505,0.427,0.367,0.335,0.142,0.123,0.109,0.1,0.095,0.064,0.071,0.083,0.088,0.085,1
0.529,0.409,0.32,0.251,0.196,0.084,0.07,0.06,0.053,0.048,0.148,0.168,0.219,0.247,0.253,1
0.495,0.374,0.278,0.226,0.195,0.099,0.082,0.07,0.065,0.061,0.095,0.109,0.14,0.155,0.154,1
0.539,0.434,0.351,0.301,0.272,0.131,0.113,0.1,0.094,0.09,0.059,0.065,0.078,0.081,0.083,1
0.511,0.397,0.313,0.255,0.211,0.097,0.082,0.071,0.065,0.062,0.103,0.117,0.145,0.157,0.158,1
0.593,0.486,0.389,0.317,0.27,0.129,0.11,0.095,0.085,0.079,0.073,0.082,0.1,0.107,0.107,1
0.576,0.466,0.378,0.321,0.31,0.156,0.134,0.119,0.112,0.112,0.049,0.055,0.066,0.069,0.067,1
0.557,0.463,0.393,0.333,0.294,0.14,0.122,0.11,0.101,0.097,0.06,0.065,0.077,0.079,0.08,1
0.494,0.38,0.3,0.249,0.211,0.108,0.09,0.08,0.073,0.07,0.087,0.098,0.122,0.128,0.129,1
0.476,0.386,0.318,0.276,0.25,0.112,0.097,0.088,0.082,0.08,0.082,0.092,0.11,0.117,0.117,1
0.529,0.424,0.339,0.283,0.255,0.111,0.095,0.084,0.078,0.075,0.077,0.087,0.108,0.116,0.12,1
0.569,0.477,0.401,0.346,0.308,0.146,0.128,0.116,0.108,0.104,0.056,0.062,0.075,0.077,0.076,1
0.482,0.383,0.314,0.264,0.225,0.111,0.096,0.086,0.079,0.076,0.07,0.079,0.096,0.102,0.103,1
0.635,0.546,0.462,0.374,0.304,0.153,0.135,0.12,0.105,0.096,0.059,0.067,0.085,0.089,0.09,1
0.547,0.428,0.332,0.274,0.265,0.138,0.116,0.102,0.096,0.097,0.054,0.062,0.077,0.08,0.078,1
0.588,0.467,0.367,0.298,0.239,0.135,0.114,0.098,0.088,0.082,0.061,0.07,0.09,0.099,0.101,1
0.256,0.192,0.149,0.112,0.084,0.039,0.033,0.029,0.026,0.024,0.307,0.341,0.416,0.446,0.448,1
0.495,0.406,0.335,0.288,0.254,0.114,0.1,0.09,0.084,0.081,0.084,0.094,0.109,0.111,0.109,1
0.516,0.426,0.352,0.304,0.276,0.121,0.106,0.096,0.089,0.086,0.067,0.075,0.09,0.096,0.094,1
0.491,0.394,0.324,0.278,0.25,0.121,0.104,0.094,0.088,0.087,0.066,0.072,0.086,0.09,0.089,1
0.535,0.432,0.347,0.298,0.272,0.121,0.104,0.093,0.087,0.086,0.079,0.088,0.106,0.11,0.111,1
0.515,0.391,0.3,0.245,0.213,0.109,0.09,0.077,0.071,0.068,0.077,0.088,0.113,0.123,0.123,1
0.538,0.464,0.394,0.339,0.313,0.142,0.128,0.116,0.108,0.105,0.052,0.057,0.069,0.072,0.074,1
0.604,0.52,0.457,0.4,0.345,0.152,0.135,0.123,0.114,0.106,0.049,0.054,0.063,0.067,0.069,1
0.564,0.451,0.366,0.301,0.249,0.11,0.093,0.081,0.075,0.071,0.073,0.083,0.104,0.11,0.111,1
0.531,0.425,0.332,0.268,0.205,0.082,0.069,0.059,0.052,0.046,0.122,0.136,0.171,0.19,0.197,1
0.611,0.524,0.443,0.378,0.318,0.116,0.102,0.091,0.085,0.081,0.065,0.073,0.088,0.096,0.096,1
0.588,0.498,0.416,0.363,0.337,0.158,0.14,0.126,0.119,0.117,0.051,0.056,0.065,0.068,0.069,1
0.515,0.413,0.327,0.268,0.232,0.118,0.101,0.089,0.081,0.078,0.089,0.1,0.124,0.13,0.127,1
0.534,0.426,0.333,0.266,0.21,0.099,0.084,0.072,0.064,0.059,0.086,0.097,0.122,0.138,0.143,1
0.269,0.217,0.185,0.149,0.114,0.038,0.034,0.031,0.029,0.028,0.313,0.335,0.377,0.395,0.405,1
0.147,0.115,0.094,0.078,0.066,0.026,0.024,0.022,0.02,0.02,0.476,0.504,0.557,0.575,0.566,1
0.553,0.469,0.411,0.352,0.314,0.15,0.134,0.122,0.114,0.109,0.048,0.052,0.062,0.065,0.065,1
0.491,0.384,0.304,0.253,0.219,0.102,0.086,0.076,0.07,0.068,0.081,0.091,0.111,0.122,0.126,1
0.489,0.376,0.298,0.252,0.216,0.093,0.078,0.068,0.064,0.062,0.098,0.11,0.137,0.148,0.15,1
0.597,0.491,0.41,0.348,0.32,0.154,0.133,0.119,0.11,0.107,0.044,0.05,0.061,0.063,0.064,1
0.545,0.466,0.394,0.332,0.296,0.138,0.123,0.111,0.101,0.097,0.048,0.053,0.063,0.066,0.067,1
0.499,0.418,0.36,0.307,0.272,0.127,0.113,0.104,0.096,0.092,0.064,0.07,0.081,0.084,0.086,1
0.603,0.516,0.44,0.392,0.374,0.171,0.153,0.139,0.133,0.132,0.043,0.047,0.055,0.054,0.053,1
0.557,0.463,0.382,0.318,0.286,0.142,0.124,0.11,0.102,0.099,0.059,0.066,0.08,0.087,0.084,1
0.45,0.344,0.267,0.221,0.186,0.095,0.08,0.07,0.066,0.064,0.104,0.117,0.144,0.154,0.153,1
0.554,0.45,0.364,0.307,0.27,0.13,0.112,0.099,0.092,0.089,0.056,0.063,0.075,0.081,0.082,1
0.536,0.429,0.339,0.268,0.234,0.093,0.079,0.069,0.061,0.057,0.101,0.112,0.137,0.149,0.153,1
0.508,0.392,0.305,0.249,0.215,0.1,0.084,0.072,0.065,0.062,0.101,0.113,0.137,0.145,0.146,1
0.508,0.441,0.397,0.349,0.3,0.118,0.107,0.101,0.095,0.092,0.059,0.063,0.072,0.076,0.076,1
0.606,0.498,0.402,0.332,0.276,0.141,0.12,0.104,0.094,0.088,0.063,0.071,0.089,0.096,0.095,1
0.417,0.364,0.32,0.282,0.261,0.107,0.099,0.093,0.088,0.086,0.081,0.087,0.098,0.099,0.095,1
0.385,0.31,0.248,0.195,0.16,0.06,0.053,0.047,0.043,0.041,0.161,0.178,0.215,0.237,0.239,1
0.401,0.329,0.263,0.223,0.19,0.092,0.081,0.074,0.068,0.067,0.095,0.104,0.124,0.132,0.13,1
0.566,0.479,0.4,0.335,0.291,0.133,0.117,0.104,0.095,0.09,0.061,0.069,0.084,0.089,0.087,1
0.482,0.389,0.31,0.254,0.233,0.103,0.09,0.079,0.072,0.071,0.083,0.092,0.113,0.121,0.121,1
0.489,0.388,0.307,0.247,0.2,0.089,0.075,0.065,0.058,0.052,0.103,0.117,0.149,0.167,0.173,1
0.51,0.405,0.327,0.267,0.228,0.108,0.093,0.082,0.075,0.07,0.087,0.098,0.124,0.136,0.137,1
0.482,0.385,0.307,0.242,0.176,0.069,0.06,0.053,0.049,0.044,0.124,0.139,0.172,0.188,0.197,1
0.469,0.359,0.281,0.233,0.208,0.099,0.083,0.073,0.067,0.065,0.086,0.097,0.117,0.12,0.119,1
0.613,0.531,0.454,0.39,0.341,0.145,0.129,0.116,0.107,0.105,0.055,0.061,0.072,0.076,0.077,1
0.385,0.311,0.256,0.208,0.177,0.072,0.063,0.057,0.051,0.048,0.183,0.199,0.235,0.252,0.248,1
0.636,0.546,0.469,0.398,0.349,0.163,0.144,0.129,0.118,0.113,0.045,0.05,0.062,0.064,0.066,1
0.562,0.477,0.411,0.36,0.291,0.113,0.1,0.091,0.087,0.086,0.061,0.067,0.08,0.084,0.083,1
